Tower of London,Mon: 10 AM – 5:30 PM;Tues: 9 AM – 5:30 PM;Wednes: 9 AM – 5:30 PM;Thurs: 9 AM – 5:30 PM;Fri: 9 AM – 5:30 PM;Satur: 9 AM – 5:30 PM,EC3N 4AB,4.7
Buckingham Palace,not specified,SW1A 1AA,4.5
Tower Bridge,Mon: 9:30 AM – 6 PM;Tues: 9:30 AM – 6 PM;Wednes: 9:30 AM – 6 PM;Thurs: 9:30 AM – 6 PM;Fri: 9:30 AM – 6 PM;Satur: 9:30 AM – 6 PM,Tower Bridge Rd SE1 2UP,4.8
lastminute.com London Eye,Mon: 11 AM – 6 PM;Tues: 11 AM – 6 PM;Wednes: 11 AM – 6 PM;Thurs: 11 AM – 6 PM;Fri: 11 AM – 6 PM;Satur: 11 AM – 6 PM,Riverside Building County Hall SE1 7PB,4.5
Shakespeare's Globe,Mon: 11 AM – 6 PM;Tues: 11 AM – 6 PM;Wednes: 11 AM – 6 PM;Thurs: 11 AM – 6 PM;Fri: 11 AM – 6 PM;Satur: 10 AM – 6 PM,21 New Globe Walk SE1 9DT,4.6
Trafalgar Square,not specified,Trafalgar Sq WC2N 5DS,4.6
The London Bridge Experience & London Tombs,Mon: 12 – 6 PM;Tues: 12 – 6 PM;Wednes: 12 – 6 PM;Thurs: 12 – 6 PM;Fri: 12 – 6 PM;Satur: 11 AM – 6 PM,The Rennie Vaults 2 - 4 Tooley St SE1 2SY,4.2
Big Ben,not specified,SW1A 0AA,4.5
Palace of Westminster,not specified,SW1A 0AA,4.6
The Shard,not specified,32 Bridge St SE1 9SG,4.6
The View from The Shard,Mon: Closed;Tues: Closed;Wednes: 12 – 8 PM;Thurs: 12 – 8 PM;Fri: 12 – 8 PM;Satur: 10 AM – 10 PM,32 Bridge St SE1 9SG,4.6
Westminster Abbey,not specified,Dean's Yard SW1P 3PA,4.6
Kensington Palace,Mon: Closed;Tues: Closed;Wednes: 10 AM – 6 PM;Thurs: 10 AM – 6 PM;Fri: 10 AM – 6 PM;Satur: 10 AM – 6 PM,Kensington Gardens W8 4PX,4.4
Monument to the Great Fire of London,Mon: 9:30 AM – 1 PM 2 – 6 PM;Tues: 9:30 AM – 1 PM 2 – 6 PM;Wednes: 9:30 AM – 1 PM 2 – 6 PM;Thurs: 9:30 AM – 1 PM 2 – 6 PM;Fri: 9:30 AM – 1 PM 2 – 6 PM;Satur: 9:30 AM – 1 PM 2 – 6 PM,Fish St Hill EC3R 8AH,4.5
Marble Arch,Mon: Open 24 hours;Tues: Open 24 hours;Wednes: Open 24 hours;Thurs: Open 24 hours;Fri: Open 24 hours;Satur: Open 24 hours,W2 2UH,4.4
Millennium Bridge,not specified,Thames Embankment EC4V 3QH,4.6
St. Paul's Cathedral,Mon: 8:30 AM – 4:30 PM;Tues: 8:30 AM – 4:30 PM;Wednes: 10 AM – 4:30 PM;Thurs: 8:30 AM – 4:30 PM;Fri: 8:30 AM – 4:30 PM;Satur: 8:30 AM – 4:30 PM,St. Paul's Churchyard EC4M 8AD,4.7
Seven Dials,Mon: 12 – 10 PM;Tues: 12 – 10 PM;Wednes: 12 – 11 PM;Thurs: 12 – 11 PM;Fri: 11 AM – 11 PM;Satur: 11 AM – 11 PM,45 WC2H 9HD,4.5
Queen Victoria Memorial,Mon: Open 24 hours;Tues: Open 24 hours;Wednes: Open 24 hours;Thurs: Open 24 hours;Fri: Open 24 hours;Satur: Open 24 hours,SW1A 1AA,4.7
London Wall,not specified,Tower Hill EC3N 4DJ,4.5
